Time,Accumulated,Consumption
2026-07-19 19:00:00,7484.4,0
2026-07-19 21:00:00,7488.8,4.4
2026-07-19 23:00:00,7492.8,4.0
2026-07-20 01:00:00,7496.1,3.3
2026-07-20 03:00:00,7499.1,3.0
2026-07-20 05:00:00,7503.7,4.6
2026-07-20 07:00:00,7510.5,6.8
2026-07-20 09:00:00,7536.8,26.3
2026-07-20 11:00:00,7581.8,45.0
2026-07-20 13:00:00,7619.4,37.6
2026-07-20 15:00:00,7665.9,46.5
2026-07-20 17:00:00,7712.9,47.0
2026-07-20 19:00:00,7731.2,18.3
2026-07-20 21:00:00,7736.5,5.3
2026-07-20 23:00:00,7742.2,5.7
2026-07-21 01:00:00,7747.9,5.7
2026-07-21 03:00:00,7752.9,5.0
2026-07-21 05:00:00,7758.2,5.3
2026-07-21 07:00:00,7764.9,6.7
2026-07-21 09:00:00,7791.1,26.2
2026-07-21 11:00:00,7839.1,48.0
2026-07-21 13:00:00,7886.8,47.7
2026-07-21 15:00:00,7932.1,45.3
2026-07-21 17:00:00,7976.2,44.1
2026-07-21 19:00:00,7999.0,22.8
2026-07-21 21:00:00,8006.3,7.3
2026-07-21 23:00:00,8012.7,6.4
2026-07-22 01:00:00,8017.8,5.1
2026-07-22 03:00:00,8022.9,5.1
2026-07-22 05:00:00,8027.4,4.5
2026-07-22 07:00:00,8033.2,5.8
2026-07-22 09:00:00,8059.0,25.8
2026-07-22 11:00:00,8105.3,46.3
2026-07-22 13:00:00,8139.5,34.2
2026-07-22 15:00:00,8183.3,43.8
2026-07-22 17:00:00,8225.2,41.9
2026-07-22 19:00:00,8239.6,14.4
2026-07-22 21:00:00,8246.4,6.8
2026-07-22 23:00:00,8251.5,5.1
2026-07-23 01:00:00,8254.6,3.1
2026-07-23 03:00:00,8257.6,3.0
2026-07-23 05:00:00,8261.0,3.4
2026-07-23 07:00:00,8265.3,4.3
2026-07-23 09:00:00,8294.7,29.4
2026-07-23 11:00:00,8340.0,45.3
2026-07-23 13:00:00,8377.7,37.7
2026-07-23 15:00:00,8414.0,36.3
2026-07-23 17:00:00,8455.0,41.0
2026-07-23 19:00:00,8466.9,11.9
2026-07-23 21:00:00,8470.9,4.0
2026-07-23 23:00:00,8474.1,3.2
2026-07-24 01:00:00,8477.2,3.1
2026-07-24 03:00:00,8480.3,3.1
2026-07-24 05:00:00,8483.4,3.1
2026-07-24 07:00:00,8488.1,4.7
2026-07-24 09:00:00,8508.1,20.0
2026-07-24 11:00:00,8546.9,38.8
2026-07-24 13:00:00,8577.9,31.0
2026-07-24 15:00:00,8617.1,39.2
2026-07-24 17:00:00,8659.7,42.6
2026-07-24 19:00:00,8674.3,14.6
2026-07-24 21:00:00,8678.9,4.6
2026-07-24 23:00:00,8682.3,3.4
2026-07-25 01:00:00,8685.5,3.2
2026-07-25 03:00:00,8688.5,3.0
2026-07-25 05:00:00,8691.4,2.9
2026-07-25 07:00:00,8697.2,5.8
2026-07-25 09:00:00,8722.0,24.8
2026-07-25 11:00:00,8767.3,45.3
2026-07-25 13:00:00,8801.0,33.7
2026-07-25 15:00:00,8818.6,17.6
2026-07-25 17:00:00,8835.1,16.5
2026-07-25 19:00:00,8840.6,5.5
2026-07-25 21:00:00,8843.4,2.8
2026-07-25 23:00:00,8846.7,3.3
2026-07-26 01:00:00,8849.9,3.2
2026-07-26 03:00:00,8852.7,2.8
2026-07-26 05:00:00,8855.5,2.8
2026-07-26 07:00:00,8860.7,5.2
2026-07-26 09:00:00,8874.2,13.5
2026-07-26 11:00:00,8901.6,27.4
2026-07-26 13:00:00,8919.3,17.7
2026-07-26 15:00:00,8937.3,18.0
2026-07-26 17:00:00,8944.8,7.5
2026-07-26 19:00:00,8947.5,2.7
2026-07-26 21:00:00,8950.7,3.2
2026-07-26 23:00:00,8954.2,3.5
2026-07-27 01:00:00,8957.5,3.3
2026-07-27 03:00:00,8960.5,3.0
2026-07-27 05:00:00,8964.9,4.4
2026-07-27 07:00:00,8967.8,2.9
2026-07-27 09:00:00,8992.8,25.0
2026-07-27 11:00:00,9035.6,42.8
2026-07-27 13:00:00,9074.7,39.1
2026-07-27 15:00:00,9112.3,37.6
2026-07-27 17:00:00,9150.4,38.1
2026-07-27 19:00:00,9165.2,14.8
2026-07-27 21:00:00,9169.2,4.0
2026-07-27 23:00:00,9173.8,4.6
2026-07-28 01:00:00,9178.4,4.6
2026-07-28 03:00:00,9182.6,4.2
2026-07-28 05:00:00,9187.1,4.5
2026-07-28 07:00:00,9190.6,3.5
2026-07-28 09:00:00,9214.0,23.4
2026-07-28 11:00:00,9261.3,47.3
2026-07-28 13:00:00,9294.1,32.8
2026-07-28 15:00:00,9338.8,44.7
2026-07-28 17:00:00,9381.3,42.5
2026-07-28 19:00:00,9395.0,13.7
2026-07-28 21:00:00,9401.1,6.1
2026-07-28 23:00:00,9405.4,4.3
2026-07-29 01:00:00,9410.4,5.0
2026-07-29 03:00:00,9415.5,5.1
2026-07-29 05:00:00,9421.0,5.5
2026-07-29 07:00:00,9424.8,3.8
2026-07-29 09:00:00,9447.9,23.1
2026-07-29 11:00:00,9492.0,44.1
2026-07-29 13:00:00,9533.3,41.3
2026-07-29 15:00:00,9580.5,47.2
2026-07-29 17:00:00,9625.7,45.2
2026-07-29 19:00:00,9640.8,15.1
2026-07-29 21:00:00,9645.1,4.3
2026-07-29 23:00:00,9648.8,3.7
2026-07-30 01:00:00,9652.3,3.5
2026-07-30 03:00:00,9655.7,3.4
2026-07-30 05:00:00,9659.8,4.1
2026-07-30 07:00:00,9662.9,3.1
2026-07-30 09:00:00,9695.7,32.8
2026-07-30 11:00:00,9739.7,44.0
2026-07-30 13:00:00,9779.5,39.8
2026-07-30 15:00:00,9823.4,43.9
2026-07-30 17:00:00,9867.0,43.6
2026-07-30 19:00:00,9884.1,17.1
2026-07-30 21:00:00,9897.8,13.7
2026-07-30 23:00:00,9906.0,8.2
2026-07-31 01:00:00,9910.0,4.0
2026-07-31 03:00:00,9913.6,3.6
2026-07-31 05:00:00,9918.2,4.6
2026-07-31 07:00:00,9921.7,3.5
2026-07-31 09:00:00,9946.4,24.7
2026-07-31 11:00:00,9983.8,37.4
